t,px,py,pz,vx,vy,vz,bax,bay,baz,wx,wy,wz,sigma_px,sigma_py,sigma_pz,sigma_vx,sigma_vy,sigma_vz,sigma_bax,sigma_bay,sigma_baz,sigma_wx,sigma_wy,sigma_wz,gps_used,gps_rejected,innovation_pos_norm,innovation_vel_norm
17.94,201.560292622839,-175.958947982766,-803.314305768052,7.4621437827655,-9.88261896199002,-53.5635607263646,0,0,0,0,0,0,122.245975905579,122.245975905579,122.245975905579,10.4612838563917,10.4612838563917,10.4612838563917,0.51591084501105,0.51591084501105,0.51591084501105,3.11743484294378,3.11743484294378,3.11743484294378,0,0,NaN,NaN
17.96,201.709418299046,-176.156579744602,-804.385546307515,7.45042383792832,-9.88055722155783,-53.5604932199267,0,0,0,0,0,0,122.442717728101,122.442717728101,122.442717728101,10.4702562543999,10.4702562543999,10.4702562543999,0.51592828959073,0.51592828959073,0.51592828959073,3.11756315092412,3.11756315092412,3.11756315092412,0,0,NaN,NaN
17.98,201.858303449115,-176.354182059669,-805.456740067521,7.4380911690236,-9.87967428515653,-53.5588827806756,0,0,0,0,0,0,122.639635830836,122.639635830836,122.639635830836,10.4792311301927,10.4792311301927,10.4792311301927,0.515945733580593,0.515945733580593,0.515945733580593,3.11769145362397,3.11769145362397,3.11769145362397,0,0,NaN,NaN
18,202.006975001454,-176.551769111504,-806.527888589216,7.4290640648154,-9.87903089837799,-53.5559693888613,0,0,0,0,0,0,122.83673028032,122.83673028032,122.83673028032,10.4882084780958,10.4882084780958,10.4882084780958,0.515963176980699,0.515963176980699,0.515963176980699,3.11781975104398,3.11781975104398,3.11781975104398,0,0,NaN,NaN
18.02,202.155444564081,-176.749336669758,-807.598987222495,7.41789219793101,-9.87772492698001,-53.5538939390221,0,0,0,0,0,0,123.034001142944,123.034001142944,123.034001142944,10.4971882924524,10.4971882924524,10.4971882924524,0.515980619791108,0.515980619791108,0.515980619791108,3.1179480431848,3.1179480431848,3.1179480431848,0,0,NaN,NaN
18.04,202.303682027867,-176.946900625379,-808.670031231877,7.40585418063946,-9.87867063519696,-53.5505069991898,0,0,0,0,0,0,123.231448484952,123.231448484952,123.231448484952,10.5061705676236,10.5061705676236,10.5061705676236,0.51599806201188,0.51599806201188,0.51599806201188,3.11807633004709,3.11807633004709,3.11807633004709,0,0,NaN,NaN
18.06,202.451680229863,-177.144482114453,-809.741029920128,7.39396601895626,-9.87947827214578,-53.5493618259434,0,0,0,0,0,0,123.429072372445,123.429072372445,123.429072372445,10.5151552979878,10.5151552979878,10.5151552979878,0.516015503643075,0.516015503643075,0.516015503643075,3.11820461163149,3.11820461163149,3.11820461163149,0,0,NaN,NaN
18.08,202.599433466071,-177.342074268634,-810.811989203911,7.38135760186201,-9.87973714594502,-53.5465665523509,0,0,0,0,0,0,123.626872871377,123.626872871377,123.626872871377,10.5241424779409,10.5241424779409,10.5241424779409,0.516032944684752,0.516032944684752,0.516032944684752,3.11833288793867,3.11833288793867,3.11833288793867,0,0,NaN,NaN
18.1,202.746942919482,-177.539682180646,-811.882890993904,7.36958773918741,-9.88105405523213,-53.543612446883,0,0,0,0,0,0,123.824850047557,123.824850047557,123.824850047557,10.5331321018964,10.5331321018964,10.5331321018964,0.516050385136971,0.516050385136971,0.516050385136971,3.11846115896926,3.11846115896926,3.11846115896926,0,0,NaN,NaN
18.12,202.894221011754,-177.737312804983,-812.953740382846,7.3582214880585,-9.88200837848352,-53.5413264473711,0,0,0,0,0,0,124.023003966651,124.023003966651,124.023003966651,10.542124164285,10.542124164285,10.542124164285,0.516067824999792,0.516067824999792,0.516067824999792,3.11858942472393,3.11858942472393,3.11858942472393,0,0,NaN,NaN
18.14,203.041239397433,-177.934958003208,-814.024541630499,7.34361707985749,-9.88251144405187,-53.538798317913,0,0,0,0,0,0,124.221334694181,124.221334694181,124.221334694181,10.5511186595546,10.5511186595546,10.5511186595546,0.516085264273275,0.516085264273275,0.516085264273275,3.11871768520331,3.11871768520331,3.11871768520331,0,0,NaN,NaN
